,Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,2019Happiness Rank,2019Happiness Score,2015LE,2016LE,2017LE,2018LE,2019LE,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP,2015HF,2016HF,2017HF,2018HF,2019HF,2015LS,2016LS,2017LS,2018LS,2019LS
30,Congo (Brazzaville),139.0,3.989,127.0,4.2360000000000015,124.0,4.290999889,114.0,4.559,103.0,4.812,59.254,59.655,60.026,60.368,0,1242.60319,1273.058953,1323.81159,1415.9553130000004,1393.522372,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
31,Congo (Kinshasa),120.0,4.517,125.0,4.272,126.0,4.28000021,132.0,4.245,127.0,4.418,63.097,63.556,63.95399999999999,64.29,0,497.3169608,471.3188404,467.0742375,557.0644182999998,545.2162122999998,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
32,Costa Rica,12.0,7.226,14.0,7.0870000000000015,12.0,7.078999996,13.0,7.072,12.0,7.167000000000002,79.565,79.738,79.914,80.095,0,1762.032018,1815.295843,1767.8945210000004,2223.854479,2011.072399,7.84,7.79,7.7,0,0,0,7.135617732999999,7.22518158,7.141074657000001,0
33,Croatia,62.0,5.759,74.0,5.488,77.0,5.293000221000001,82.0,5.3210000000000015,75.0,5.432,77.27560976,78.02195122,77.82682927,78.07073171,0,11299.13554,11666.45591,11814.62657,12112.13442,12238.37496,7.8,7.72,7.86,0,0,0,5.416875362000001,5.343165873999999,5.536271095,0
34,Cyprus,67.0,5.689,69.0,5.546,65.0,5.620999812999999,61.0,5.7620000000000005,49.0,6.046,80.35,80.513,80.672,80.828,0,1972.546108,2013.382462,2111.0270760000008,2302.612951,2286.162777,8.17,8.09,7.93,0,0,0,5.794618607,6.062051296,6.276443005,0
35,Czech Republic,31.0,6.505,27.0,6.596,23.0,6.609000206,21.0,6.711,20.0,6.852,78.57804878,79.02682927,78.97804878,79.02926829,0,11782.89908,12360.48382,13412.33829,14920.191380000002,14853.23984,0,0.0,0.0,0,0,0,6.735627173999998,6.789567947,7.034165382,0
36,Denmark,3.0,7.527,1.0,7.526,2.0,7.521999836,3.0,7.555,2.0,7.6,80.70243902,80.85365854,81.10243902,80.95365854,0,23333.71491,24532.51906,26338.69434,28689.70672,27858.371,8.6,8.52,8.56,0,0,0,7.55778265,7.593702316,7.648785591,0
37,Dominican Republic,98.0,4.885,51.0,5.976,44.0,6.007999897,48.0,5.973,77.0,5.425,0.0,0.0,0.0,0.0,0,53254.856,54663.99837,57141.05984,61390.69301,59822.09296,0,0.0,0.0,0,0,0,5.238698483,5.605202675,5.433215617999999,0
38,Ecuador,48.0,5.975,120.0,4.362,104.0,4.735000134,122.0,4.419,50.0,6.028,76.143,76.365,76.584,76.8,0,2658.978753000001,2802.197051,2914.383856,3141.889219,3408.846254,6.77,6.89,6.82,0,0,0,6.115437507999999,5.839518547000001,6.128010272999999,0
39,Egypt,135.0,4.194,46.0,6.068,45.0,6.002999783,40.0,6.167000000000002,137.0,4.166,71.30199999999998,71.482,71.656,71.825,0,6921.517228,7280.8801090000015,7609.338798999999,8050.630440000001,8282.116222,4.49,4.49,4.5,0,0,0,4.556740761,3.929344177,4.005450726,0
40,El Salvador,42.0,6.13,72.0,5.517,66.0,5.611000061,63.0,5.739,35.0,6.252999999999999,72.41199999999998,72.64399999999998,72.872,73.096,0,6124.491643,6060.093329,6213.501276,6295.935399,6183.823825,7.07,7.0,6.89,0,0,0,6.139824867000001,6.339318275,6.276246071,0
41,Estonia,73.0,5.4289999999999985,115.0,4.508,119.0,4.460000038,127.0,4.35,55.0,5.893,77.5902439,77.64146341,78.09268293,78.24390244,0,3598.970948,3525.020165,2440.510173,2549.132252,3020.03135,8.46,8.48,8.46,0,0,0,5.649675369,5.938395977000001,6.091302395,0
42,Ethiopia,122.0,4.512,5.0,7.4129999999999985,5.0,7.468999863,1.0,7.6320000000000014,134.0,4.2860000000000005,65.048,65.482,65.872,66.24,0,3705.577946,3805.993666,3910.257193,4067.659449,4187.250031000001,5.08,5.23,5.25,0,0,0,4.297848701,4.180315495,4.379262447,0
43,Finland,6.0,7.4060000000000015,32.0,6.478,31.0,6.441999912000001,23.0,6.489,1.0,7.769,81.4804878,81.42926829,81.63170732,81.73414634,0,17522.230190000002,18237.29584,20388.20955,23258.46758,23659.87229,8.59,8.51,8.53,0,0,0,7.659843445,7.788251877,7.85810709,0
44,France,29.0,6.575,134.0,4.121,118.0,4.465000153,103.0,4.758,24.0,6.5920000000000005,82.32195122,82.57317073,82.57560976,82.72439024,0,640.5418913,717.1245928999998,768.5223076000002,771.5238138999998,857.501351,8.08,8.04,8.02,0,0,0,6.475208759,6.635222435,6.665903567999999,0
45,Gabon,143.0,3.896,126.0,4.252,125.0,4.285999775,128.0,4.34,104.0,4.799,64.913,65.418,65.839,66.187,0,42784.69836,43784.28396,46316.74546000001,50021.29106,48685.85399,5.6,5.69,5.99,0,0,0,4.831764221,4.782382965,4.783009052,0
46,Georgia,130.0,4.297,16.0,6.994,16.0,6.951000214,15.0,6.965,119.0,4.519,72.973,73.207,73.414,73.6,0,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857,7.88,7.65,7.74,0,0,0,4.448386192,4.45077467,4.659097195,0
47,Germany,26.0,6.75,124.0,4.276,131.0,4.119999886,108.0,4.657,17.0,6.985,80.64146341,80.9902439,80.99268293,80.89268293,0,7384.71587,6984.451019,7230.396393000001,7956.627815999998,7667.366860999998,8.57,8.55,8.53,0,0,0,6.873763084,7.074324608,7.118364334,0
48,Ghana,114.0,4.633,99.0,5.033,87.0,5.227000237,79.0,5.358,98.0,4.996,62.772,63.124,63.463,63.78,0,4014.185944,4062.169888,4357.000936,4722.787783,4769.186543,6.96,7.1,6.94,0,0,0,4.514411449,5.4813108439999985,0.0,0
49,Greece,102.0,4.857,39.0,6.324,29.0,6.453999996,30.0,6.3820000000000014,82.0,5.287000000000001,81.03658537,81.38780488,81.28780488,81.78780488,0,41139.54457,42098.92045,44349.58966000001,47639.00344,46258.87829,7.32,7.25,7.33,0,0,0,5.302619457,5.14824152,5.40928936,0
50,Guatemala,43.0,6.122999999999998,151.0,3.607,149.0,3.506999969,140.0,3.964,27.0,6.436,73.25,73.541,73.81,74.063,0,1743.850996,1931.38947,2025.932424,2202.312164,2202.1155670000007,7.13,7.1,7.07,0,0,0,6.358916282999999,6.325118542,6.626591682000001,0
51,Guinea,150.0,3.656,136.0,4.0280000000000005,145.0,3.602999926,148.0,3.582,118.0,4.534,59.598,60.17,60.706,61.185,0,18167.77372,18116.45962,18930.21859,20324.30501,19582.53601,5.46,5.6,5.61,0,0,0,3.602854729,4.873722553,5.25222683,0
